NS 164
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 6297
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
ROOT 0257
UHF +0,+2,+8,+2
LHF +7,+2,+8,+7
PHF -5,+7,-6,-2
